Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE
Pinrang,73.55,8.53,8.55,4.3,3.3,1.36,4.14
Pohuwato,68.02,7.78,17.11,1.6,1.4,1,3.94
Polewali Mandar,66.22,7.72,15.66,4,3.6,3.18,4.26
Ponorogo,73.01,7.8,9.11,3,2.6,1.45,3.94
Poso,72.87,9.54,14.23,3,2.2,1,3.11
Pringsewu,72.29,8.53,8.32,3.1,2.4,2.09,3.75
Probolinggo,68.29,6.31,16.45,4.4,3.7,2.18,4.64
Pulang Pisau,70.27,8.42,4.56,4.2,2.3,1.82,3.82
Pulau Morotai,65.68,7.73,5.11,1.2,1.1,1,3.03
Pulau Taliabu,62.9,7.99,7.13,2.7,1,1,2.92
Puncak,45.6,2.39,37.49,1,1,1,2.35
Puncak Jaya,51.78,4.42,35.94,2.8,1.2,1,2.44
Purbalingga,70.69,7.36,14.18,4.4,3.7,2.73,4.35
Purwakarta,72.65,8.14,8.41,3.9,3.5,2.91,4.57
Purworejo,75.11,8.65,10.87,4.1,3.2,2.55,3.82
Raja Ampat,65.86,8.4,15.83,1,1,1,1.73
Rejang Lebong,72.92,8.81,14.65,3.6,3,2.09,3.69
Rembang,72.53,7.73,14.02,4.4,3.7,2.64,4.52
Rokan Hilir,71.2,8.53,7.01,4.1,2.6,2.36,4.25
Rokan Hulu,71.82,8.94,9.62,4.1,2.8,2.27,4.07
Rote Ndao,64.59,7.83,25.78,5,2.6,1.91,3.82
Sabu Raijua,59.58,6.99,28.13,4.6,1.5,1.09,1.51
Sambas,69.31,6.76,6.53,3.2,1.9,1.18,4.01
Samosir,72.88,9.61,11.63,2.6,2.3,1.18,3.51
Sampang,64.65,5.08,20.83,3.6,3,2.09,4.64
Sanggau,68.43,7.47,4.67,3.9,3,2.82,3.45
Sarmi,66.72,9.61,14.05,1,1.1,1,2.1
Sarolangun,72.01,8.35,8.36,3.7,2.8,1.45,3.68
Sekadau,67.25,7.23,5.66,3.8,2.8,1,3.89
Seluma,68.97,8.14,17.23,2.4,1.6,1,3.05
Semarang,75.67,8.16,6.96,3.3,3,2.18,3.88
Seram Bagian Barat,68.39,9.59,22.31,1,1.8,1,2.54
Seram Bagian Timur,66.24,9,21.03,2,1.2,1,3.71
Serang,69.03,7.88,4.51,5,3.4,2.09,4.13
Serdang Bedagai,72.47,9.12,6.97,2.9,2.1,1.45,3.31
Seruyan,69.05,8.01,7.08,2.8,1.9,1,3.3
Siak,75.45,9.92,5.08,4.9,2.6,1.73,4.32
Siau Tagulandang Biaro,70.31,9.43,8.32,2.4,1.6,1,3.49
Sidenreng Rappang,73.21,8.21,5.02,5,2,1.27,3.68
Sidoarjo,82.31,10.91,4.53,4.8,3,2.73,4.7
Sigi,70.51,9.04,12.06,2.5,1.6,1,3.07
Sijunjung,70.23,8.62,5.78,2.7,2.2,2.36,3.76
Sikka,67.41,6.99,11.89,2.5,1,1,2.81
Simalungun,74.97,9.73,7.72,2.3,1.6,1,3.31
Simeulue,69.01,9.89,17.69,2.423706627,1.359864459,1.209066239,2.993819632
Sinjai,69.52,7.82,7.82,4,2.5,1,3.74
Sintang,69.42,7.65,8.03,2.8,1.5,1.18,3
Situbondo,69.75,6.93,11.51,4.7,4.1,2.64,4.69
Sleman,85.61,11.33,7.46,4.2,4.2,3.27,4.75
Solok,71.02,7.91,7.31,3.6,3.1,2.55,4.01
Solok Selatan,71.5,8.85,6.56,4,2.4,2.55,3.82
Soppeng,71.39,8.45,6.9,3,2.7,1.64,3.62
Sorong,68.29,8.74,25.71,3.1,1.3,1,3.5
Sorong Selatan,64.5,7.76,17.83,2.815774814,2.017161343,1.55242644,3.468093496
Sragen,75.53,7.88,12.41,5,3.6,3.27,4.93
Subang,71.36,7.46,9.49,3.3,3.2,2,4.01
Sukabumi,68.97,7.34,6.87,4.7,3,2.73,4.7
Sukamara,69.85,8.18,4.14,2.3,2.1,1,3.88
Sukoharjo,79.3,10.01,7.47,4.9,4.3,3.45,4.76
Sumba Barat,66.06,7.17,26.52,4.4,2.3,1.09,3.95
Sumba Barat Daya,64.27,6.39,27.2,1.1,1.1,1,3.19
Sumba Tengah,64.31,7.23,30.84,3,1.5,1.09,2.73
Sumba Timur,67.68,7.77,27.04,3,1.5,1,3.58
Sumbawa,70.55,8.59,12.87,3.7,2.5,1,3.57
Sumbawa Barat,73.86,8.99,12.23,4.1,2.7,2.55,4.01
Sumedang,73.73,8.74,9.1,5,4.3,3.91,4.69
Sumenep,69.26,6.1,17.78,4.2,3.1,2.82,4.26
Supiori,65.15,9.21,37.72,1,1,1,2.04
Tabalong,74.41,9.15,5.64,3.2,3.4,3,4.26
Tabanan,78.42,9.57,4.4,3.7,3.2,2.27,4.14
Takalar,69.47,7.73,7.75,2.5,2.2,1,3.87
Tambrauw,56.32,5.89,29.88,2.409260741,1.293717653,1.038609652,2.400787889
Tana Tidung,70.08,9.24,4.47,2.3,2.5,1.09,3.81
Tana Toraja,71.67,8.77,10.79,2.9,2,1,3.75
Tanah Bumbu,72.95,8.43,3.41,3.2,2.8,2.73,3.82
Tanah Datar,74.9,9.29,4.28,2.5,1.9,1.27,3.95
Tanah Laut,71.43,7.94,3.74,3.1,3.1,1.09,3.87
Tangerang,74.09,9.06,6.55,3.5,3.3,2.82,4.75
Tanggamus,68.52,7.38,10.28,4.1,3.8,2.18,3.51
Tanjung Jabung Barat,69.93,8.32,9.54,3,2.6,1.09,3.74
Tanjung Jabung Timur,67.54,7.7,10.14,3.1,2.2,1,3.76
Tapanuli Selatan,72.14,9.56,6.92,3.6,2.2,1.82,3.99
Tapanuli Tengah,71.52,8.92,11.8,2.1,1.3,1,3.55
Tapanuli Utara,75.23,10.31,8.21,2.8,2.3,1.73,3.57
Tapin,72.51,8.15,3.33,3.6,3.5,2.18,4.63
Tasikmalaya,68.36,7.97,10.23,4.4,3.1,1,4.94
Tebo,71.32,8.04,6.12,2.9,1.7,1,3.63
Tegal,70.77,7.36,6.81,3.4,2.3,2.18,3.92
Teluk Bintuni,66.75,8.67,26.99,3.073448625,1.676513766,1.091359901,3.45780266
Teluk Wondama,62.36,7.38,28.47,3.5,1.6,1,3.04
Temanggung,71.87,7.53,8.67,3.8,3.1,2.09,4.46
Timor Tengah Selatan,64.36,7.21,24.68,2.8,2.2,1.09,3.82
Timor Tengah Utara,65.83,8.17,20.89,2.5,1.4,1,3.5
Toba Samosir,76.91,10.77,8.07,2.8,2.5,1.91,3.63
Tojo Una-Una,66.97,8.56,16.36,4.4,1.9,1.27,3.96
Tolikara,52.05,3.69,31.22,1,1,1,2.04
Toli-Toli,68.37,8.91,12.45,3,1.9,1.09,3.16
Toraja Utara,71.85,8.54,10.73,2,1.1,1.09,3.49
Trenggalek,72.24,7.92,10.5,4.8,3.8,2.91,4.76
Tuban,71.23,7.53,14.36,4.7,3.9,2.64,4.87
Tulang Bawang Barat,68.46,7.8,7.22,2.6,2.1,1.45,3.05
Tulangbawang,70.66,7.65,7.88,3.7,2.1,1,3.69
Tulungagung,75.09,8.68,6.28,3.5,3.7,1.91,4.58
Wajo,71.52,7.46,6.47,2.9,2,1,3.81
Wakatobi,72.02,8.53,14.36,3,1.4,1,3.62
Waropen,66.92,9.42,29.85,2.48993292,1.516560645,1.088132615,3.152178641
Way Kanan,69.31,7.75,10.43,3.3,3.3,2.91,3.93
Wonogiri,72.55,7.68,10.71,5,4.3,2.73,4.45
Wonosobo,69.82,6.9,15.28,3.7,3,2.55,4.7
Yahukimo,51.98,4.35,33.82,1.652493771,1.083122322,1.002822496,2.007833609
Yalimo,51.85,3.55,30.02,1.3193524,1.042839732,1.002041946,1.991520135
